prefecture_code,target_variable,predictor_variable,frequency_band,reason
JP-28,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-28,cases,c2w_event,semiannual,constant_predictor_band
JP-28,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-28,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-28,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-29,cases,w2c_event,trend,constant_predictor_band
JP-29,incidence_per_100k,w2c_event,trend,constant_predictor_band
JP-29,cases,t2m,interannual,constant_target_band
JP-29,cases,t2m_std_anom,interannual,constant_target_band
JP-29,cases,c2w_event,interannual,constant_target_band
JP-29,cases,w2c_event,interannual,constant_target_band
JP-29,cases,c2w_transition_intensity,interannual,constant_target_band
JP-29,cases,w2c_transition_intensity,interannual,constant_target_band
JP-29,cases,ah,interannual,constant_target_band
JP-29,cases,rh,interannual,constant_target_band
JP-29,cases,tp,interannual,constant_target_band
JP-29,cases,nw_wind,interannual,constant_target_band
JP-29,incidence_per_100k,t2m,interannual,constant_target_band
JP-29,incidence_per_100k,t2m_std_anom,interannual,constant_target_band
JP-29,incidence_per_100k,c2w_event,interannual,constant_target_band
JP-29,incidence_per_100k,w2c_event,interannual,constant_target_band
JP-29,incidence_per_100k,c2w_transition_intensity,interannual,constant_target_band
JP-29,incidence_per_100k,w2c_transition_intensity,interannual,constant_target_band
JP-29,incidence_per_100k,ah,interannual,constant_target_band
JP-29,incidence_per_100k,rh,interannual,constant_target_band
JP-29,incidence_per_100k,tp,interannual,constant_target_band
JP-29,incidence_per_100k,nw_wind,interannual,constant_target_band
JP-29,cases,w2c_event,annual,constant_predictor_band
JP-29,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-29,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-29,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-29,cases,c2w_event,semiannual,constant_predictor_band
JP-29,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-29,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-29,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-29,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-29,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-30,cases,w2c_event,annual,constant_predictor_band
JP-30,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-30,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-30,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-30,cases,c2w_event,semiannual,constant_predictor_band
JP-30,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-30,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-30,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-30,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-30,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-31,cases,nw_wind,trend,constant_predictor_band
JP-31,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-31,cases,w2c_event,interannual,constant_predictor_band
JP-31,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-31,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-31,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-32,cases,w2c_event,interannual,constant_predictor_band
JP-32,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-32,cases,c2w_event,semiannual,constant_predictor_band
JP-32,cases,w2c_event,semiannual,constant_predictor_band
JP-32,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-32,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-32,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-32,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-32,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-32,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-32,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-32,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-33,cases,t2m,interannual,constant_target_band
JP-33,cases,t2m_std_anom,interannual,constant_target_band
JP-33,cases,c2w_event,interannual,constant_target_band
JP-33,cases,w2c_event,interannual,constant_target_band
JP-33,cases,c2w_transition_intensity,interannual,constant_target_band
JP-33,cases,w2c_transition_intensity,interannual,constant_target_band
JP-33,cases,ah,interannual,constant_target_band
JP-33,cases,rh,interannual,constant_target_band
JP-33,cases,tp,interannual,constant_target_band
JP-33,cases,nw_wind,interannual,constant_target_band
JP-33,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-33,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-33,cases,c2w_event,semiannual,constant_predictor_band
JP-33,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-34,cases,c2w_event,trend,constant_predictor_band
JP-34,cases,c2w_transition_intensity,trend,constant_predictor_band
JP-34,incidence_per_100k,c2w_event,trend,constant_predictor_band
JP-34,incidence_per_100k,c2w_transition_intensity,trend,constant_predictor_band
JP-34,cases,w2c_event,interannual,constant_predictor_band
JP-34,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-34,cases,w2c_event,annual,constant_predictor_band
JP-34,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-34,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-34,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-34,cases,w2c_event,semiannual,constant_predictor_band
JP-34,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-34,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-34,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-34,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-34,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-35,cases,c2w_event,interannual,constant_predictor_band
JP-35,cases,w2c_event,interannual,constant_predictor_band
JP-35,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-35,cases,tp,interannual,constant_predictor_band
JP-35,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-35,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-35,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-35,incidence_per_100k,tp,interannual,constant_predictor_band
JP-35,cases,c2w_event,semiannual,constant_predictor_band
JP-35,cases,w2c_event,semiannual,constant_predictor_band
JP-35,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-35,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-35,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-35,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-35,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-35,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-35,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-35,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-36,cases,nw_wind,trend,constant_predictor_band
JP-36,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-36,cases,w2c_event,interannual,constant_predictor_band
JP-36,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-36,cases,w2c_event,annual,constant_predictor_band
JP-36,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-36,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-36,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-36,cases,c2w_event,semiannual,constant_predictor_band
JP-36,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-36,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-36,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-36,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-36,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-37,cases,c2w_event,interannual,constant_predictor_band
JP-37,cases,w2c_event,interannual,constant_predictor_band
JP-37,cases,c2w_transition_intensity,interannual,constant_predictor_band
JP-37,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-37,cases,tp,interannual,constant_predictor_band
JP-37,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-37,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-37,incidence_per_100k,c2w_transition_intensity,interannual,constant_predictor_band
JP-37,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-37,incidence_per_100k,tp,interannual,constant_predictor_band
JP-37,cases,c2w_event,semiannual,constant_predictor_band
JP-37,cases,w2c_event,semiannual,constant_predictor_band
JP-37,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-37,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-37,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-37,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-37,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-37,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-38,cases,w2c_event,interannual,constant_predictor_band
JP-38,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-38,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-38,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-38,cases,c2w_event,semiannual,constant_predictor_band
JP-38,cases,w2c_event,semiannual,constant_predictor_band
JP-38,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-38,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-38,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-38,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-38,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-38,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-38,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-38,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-39,cases,nw_wind,trend,constant_predictor_band
JP-39,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-39,cases,w2c_event,interannual,constant_predictor_band
JP-39,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-39,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-39,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-39,cases,c2w_event,semiannual,constant_predictor_band
JP-39,cases,w2c_event,semiannual,constant_predictor_band
JP-39,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-39,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-39,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-39,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-39,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-39,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-39,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-39,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-40,cases,w2c_event,interannual,constant_predictor_band
JP-40,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-40,cases,w2c_event,annual,constant_predictor_band
JP-40,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-40,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-40,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-40,cases,c2w_event,semiannual,constant_predictor_band
JP-40,cases,w2c_event,semiannual,constant_predictor_band
JP-40,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-40,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-40,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-40,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-40,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-40,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-41,cases,w2c_event,annual,constant_predictor_band
JP-41,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-41,cases,c2w_event,semiannual,constant_predictor_band
JP-41,cases,w2c_event,semiannual,constant_predictor_band
JP-41,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-41,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-41,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-41,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-41,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-41,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-41,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-41,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-42,cases,w2c_event,interannual,constant_predictor_band
JP-42,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-42,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-42,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-42,cases,w2c_event,semiannual,constant_predictor_band
JP-42,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-42,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-42,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-42,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-42,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-43,cases,w2c_event,interannual,constant_predictor_band
JP-43,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-43,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-43,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-43,cases,c2w_event,semiannual,constant_predictor_band
JP-43,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-43,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-43,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-43,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-43,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-44,cases,w2c_event,interannual,constant_predictor_band
JP-44,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-44,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-44,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-44,cases,w2c_event,annual,constant_predictor_band
JP-44,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-44,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-44,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-44,cases,c2w_event,semiannual,constant_predictor_band
JP-44,cases,w2c_event,semiannual,constant_predictor_band
JP-44,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-44,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-44,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-44,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-44,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-44,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-44,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-44,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-45,cases,c2w_event,annual,constant_predictor_band
JP-45,cases,w2c_event,annual,constant_predictor_band
JP-45,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-45,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-45,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-45,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-45,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-45,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-45,cases,c2w_event,semiannual,constant_predictor_band
JP-45,cases,w2c_event,semiannual,constant_predictor_band
JP-45,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-45,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-45,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-45,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-45,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-45,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-45,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-45,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-46,cases,c2w_event,semiannual,constant_predictor_band
JP-46,cases,w2c_event,semiannual,constant_predictor_band
JP-46,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-46,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-46,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-46,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-46,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-46,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-47,cases,nw_wind,trend,constant_predictor_band
JP-47,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-47,cases,c2w_event,semiannual,constant_predictor_band
JP-47,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-47,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-47,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
