prefecture_code,target_variable,predictor_variable,frequency_band,applied_lag_days,lag_source
JP-14,cases,rh,annual,0,selected_on_training_period
JP-14,cases,t2m,annual,0,selected_on_training_period
JP-14,cases,t2m_std_anom,annual,0,selected_on_training_period
JP-14,cases,tp,annual,0,selected_on_training_period
JP-14,cases,w2c_event,annual,0,selected_on_training_period
JP-14,cases,w2c_transition_intensity,annual,30,selected_on_training_period
JP-14,cases,ah,high_frequency,4,selected_on_training_period
JP-14,cases,c2w_event,high_frequency,0,selected_on_training_period
JP-14,cases,c2w_transition_intensity,high_frequency,0,selected_on_training_period
JP-14,cases,nw_wind,high_frequency,12,selected_on_training_period
JP-14,cases,rh,high_frequency,7,selected_on_training_period
JP-14,cases,t2m,high_frequency,5,selected_on_training_period
JP-14,cases,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-14,cases,tp,high_frequency,7,selected_on_training_period
JP-14,cases,w2c_event,high_frequency,6,selected_on_training_period
JP-14,cases,w2c_transition_intensity,high_frequency,6,selected_on_training_period
JP-14,cases,ah,interannual,0,selected_on_training_period
JP-14,cases,c2w_event,interannual,0,selected_on_training_period
JP-14,cases,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-14,cases,nw_wind,interannual,0,selected_on_training_period
JP-14,cases,rh,interannual,0,selected_on_training_period
JP-14,cases,t2m,interannual,0,selected_on_training_period
JP-14,cases,t2m_std_anom,interannual,0,selected_on_training_period
JP-14,cases,tp,interannual,0,constant_predictor_default_zero
JP-14,cases,w2c_event,interannual,0,constant_predictor_default_zero
JP-14,cases,w2c_transition_intensity,interannual,0,constant_predictor_default_zero
JP-14,cases,ah,seasonal_subannual,30,selected_on_training_period
JP-14,cases,c2w_event,seasonal_subannual,25,selected_on_training_period
JP-14,cases,c2w_transition_intensity,seasonal_subannual,12,selected_on_training_period
JP-14,cases,nw_wind,seasonal_subannual,24,selected_on_training_period
JP-14,cases,rh,seasonal_subannual,3,selected_on_training_period
JP-14,cases,t2m,seasonal_subannual,4,selected_on_training_period
JP-14,cases,t2m_std_anom,seasonal_subannual,5,selected_on_training_period
JP-14,cases,tp,seasonal_subannual,27,selected_on_training_period
JP-14,cases,w2c_event,seasonal_subannual,3,selected_on_training_period
JP-14,cases,w2c_transition_intensity,seasonal_subannual,4,selected_on_training_period
JP-14,cases,ah,semiannual,0,selected_on_training_period
JP-14,cases,c2w_event,semiannual,0,selected_on_training_period
JP-14,cases,c2w_transition_intensity,semiannual,0,selected_on_training_period
JP-14,cases,nw_wind,semiannual,0,selected_on_training_period
JP-14,cases,rh,semiannual,14,selected_on_training_period
JP-14,cases,t2m,semiannual,30,selected_on_training_period
JP-14,cases,t2m_std_anom,semiannual,0,selected_on_training_period
JP-14,cases,tp,semiannual,11,selected_on_training_period
JP-14,cases,w2c_event,semiannual,30,selected_on_training_period
JP-14,cases,w2c_transition_intensity,semiannual,29,selected_on_training_period
JP-14,cases,ah,subseasonal,3,selected_on_training_period
JP-14,cases,c2w_event,subseasonal,16,selected_on_training_period
JP-14,cases,c2w_transition_intensity,subseasonal,16,selected_on_training_period
JP-14,cases,nw_wind,subseasonal,18,selected_on_training_period
JP-14,cases,rh,subseasonal,9,selected_on_training_period
JP-14,cases,t2m,subseasonal,3,selected_on_training_period
JP-14,cases,t2m_std_anom,subseasonal,3,selected_on_training_period
JP-14,cases,tp,subseasonal,1,selected_on_training_period
JP-14,cases,w2c_event,subseasonal,0,selected_on_training_period
JP-14,cases,w2c_transition_intensity,subseasonal,21,selected_on_training_period
JP-14,cases,ah,trend,0,selected_on_training_period
JP-14,cases,c2w_event,trend,0,selected_on_training_period
JP-14,cases,c2w_transition_intensity,trend,0,selected_on_training_period
JP-14,cases,nw_wind,trend,0,selected_on_training_period
JP-14,cases,rh,trend,0,selected_on_training_period
JP-14,cases,t2m,trend,0,selected_on_training_period
JP-14,cases,t2m_std_anom,trend,0,selected_on_training_period
JP-14,cases,tp,trend,0,selected_on_training_period
JP-14,cases,w2c_event,trend,0,selected_on_training_period
JP-14,cases,w2c_transition_intensity,trend,0,selected_on_training_period
JP-14,incidence_per_100k,ah,annual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,annual,0,constant_predictor_default_zero
JP-14,incidence_per_100k,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-14,incidence_per_100k,nw_wind,annual,26,selected_on_training_period
JP-14,incidence_per_100k,rh,annual,0,selected_on_training_period
JP-14,incidence_per_100k,t2m,annual,0,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,annual,0,selected_on_training_period
JP-14,incidence_per_100k,tp,annual,0,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,annual,0,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,annual,30,selected_on_training_period
JP-14,incidence_per_100k,ah,high_frequency,4,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,high_frequency,5,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,high_frequency,5,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,high_frequency,12,selected_on_training_period
JP-14,incidence_per_100k,rh,high_frequency,7,selected_on_training_period
JP-14,incidence_per_100k,t2m,high_frequency,5,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-14,incidence_per_100k,tp,high_frequency,7,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,high_frequency,4,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,high_frequency,6,selected_on_training_period
JP-14,incidence_per_100k,ah,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,rh,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,t2m,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,interannual,0,selected_on_training_period
JP-14,incidence_per_100k,tp,interannual,0,constant_predictor_default_zero
JP-14,incidence_per_100k,w2c_event,interannual,0,constant_predictor_default_zero
JP-14,incidence_per_100k,w2c_transition_intensity,interannual,0,constant_predictor_default_zero
JP-14,incidence_per_100k,ah,seasonal_subannual,30,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,seasonal_subannual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,seasonal_subannual,18,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,seasonal_subannual,24,selected_on_training_period
JP-14,incidence_per_100k,rh,seasonal_subannual,3,selected_on_training_period
JP-14,incidence_per_100k,t2m,seasonal_subannual,4,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,seasonal_subannual,5,selected_on_training_period
JP-14,incidence_per_100k,tp,seasonal_subannual,6,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,seasonal_subannual,20,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,seasonal_subannual,20,selected_on_training_period
JP-14,incidence_per_100k,ah,semiannual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,semiannual,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,semiannual,0,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,semiannual,0,selected_on_training_period
JP-14,incidence_per_100k,rh,semiannual,25,selected_on_training_period
JP-14,incidence_per_100k,t2m,semiannual,30,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,semiannual,0,selected_on_training_period
JP-14,incidence_per_100k,tp,semiannual,11,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,semiannual,30,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,semiannual,28,selected_on_training_period
JP-14,incidence_per_100k,ah,subseasonal,3,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,subseasonal,16,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,subseasonal,16,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,subseasonal,18,selected_on_training_period
JP-14,incidence_per_100k,rh,subseasonal,9,selected_on_training_period
JP-14,incidence_per_100k,t2m,subseasonal,3,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,subseasonal,4,selected_on_training_period
JP-14,incidence_per_100k,tp,subseasonal,1,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,subseasonal,0,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,subseasonal,21,selected_on_training_period
JP-14,incidence_per_100k,ah,trend,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_event,trend,0,selected_on_training_period
JP-14,incidence_per_100k,c2w_transition_intensity,trend,0,selected_on_training_period
JP-14,incidence_per_100k,nw_wind,trend,0,selected_on_training_period
JP-14,incidence_per_100k,rh,trend,0,selected_on_training_period
JP-14,incidence_per_100k,t2m,trend,0,selected_on_training_period
JP-14,incidence_per_100k,t2m_std_anom,trend,0,selected_on_training_period
JP-14,incidence_per_100k,tp,trend,0,selected_on_training_period
JP-14,incidence_per_100k,w2c_event,trend,0,selected_on_training_period
JP-14,incidence_per_100k,w2c_transition_intensity,trend,0,selected_on_training_period
JP-15,cases,ah,annual,0,selected_on_training_period
JP-15,cases,c2w_event,annual,0,constant_predictor_default_zero
JP-15,cases,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-15,cases,nw_wind,annual,0,selected_on_training_period
JP-15,cases,rh,annual,30,selected_on_training_period
JP-15,cases,t2m,annual,0,selected_on_training_period
JP-15,cases,t2m_std_anom,annual,0,selected_on_training_period
JP-15,cases,tp,annual,30,selected_on_training_period
JP-15,cases,w2c_event,annual,0,constant_predictor_default_zero
JP-15,cases,w2c_transition_intensity,annual,0,constant_predictor_default_zero
JP-15,cases,ah,high_frequency,1,selected_on_training_period
JP-15,cases,c2w_event,high_frequency,14,selected_on_training_period
JP-15,cases,c2w_transition_intensity,high_frequency,14,selected_on_training_period
JP-15,cases,nw_wind,high_frequency,9,selected_on_training_period
JP-15,cases,rh,high_frequency,4,selected_on_training_period
JP-15,cases,t2m,high_frequency,3,selected_on_training_period
JP-15,cases,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-15,cases,tp,high_frequency,9,selected_on_training_period
JP-15,cases,w2c_event,high_frequency,5,selected_on_training_period
JP-15,cases,w2c_transition_intensity,high_frequency,11,selected_on_training_period
JP-15,cases,ah,interannual,0,selected_on_training_period
JP-15,cases,c2w_event,interannual,0,selected_on_training_period
JP-15,cases,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-15,cases,nw_wind,interannual,0,constant_predictor_default_zero
JP-15,cases,rh,interannual,0,selected_on_training_period
JP-15,cases,t2m,interannual,0,selected_on_training_period
JP-15,cases,t2m_std_anom,interannual,0,selected_on_training_period
JP-15,cases,tp,interannual,0,selected_on_training_period
JP-15,cases,w2c_event,interannual,0,selected_on_training_period
JP-15,cases,w2c_transition_intensity,interannual,0,selected_on_training_period
JP-15,cases,ah,seasonal_subannual,22,selected_on_training_period
JP-15,cases,c2w_event,seasonal_subannual,0,selected_on_training_period
JP-15,cases,c2w_transition_intensity,seasonal_subannual,0,selected_on_training_period
JP-15,cases,nw_wind,seasonal_subannual,11,selected_on_training_period
JP-15,cases,rh,seasonal_subannual,30,selected_on_training_period
JP-15,cases,t2m,seasonal_subannual,17,selected_on_training_period
JP-15,cases,t2m_std_anom,seasonal_subannual,16,selected_on_training_period
JP-15,cases,tp,seasonal_subannual,23,selected_on_training_period
JP-15,cases,w2c_event,seasonal_subannual,0,selected_on_training_period
JP-15,cases,w2c_transition_intensity,seasonal_subannual,30,selected_on_training_period
JP-15,cases,ah,semiannual,30,selected_on_training_period
JP-15,cases,c2w_event,semiannual,30,selected_on_training_period
JP-15,cases,c2w_transition_intensity,semiannual,30,selected_on_training_period
JP-15,cases,nw_wind,semiannual,0,selected_on_training_period
JP-15,cases,rh,semiannual,0,selected_on_training_period
JP-15,cases,t2m,semiannual,23,selected_on_training_period
JP-15,cases,t2m_std_anom,semiannual,30,selected_on_training_period
JP-15,cases,tp,semiannual,0,selected_on_training_period
JP-15,cases,w2c_event,semiannual,0,constant_predictor_default_zero
JP-15,cases,w2c_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-15,cases,ah,subseasonal,15,selected_on_training_period
JP-15,cases,c2w_event,subseasonal,5,selected_on_training_period
JP-15,cases,c2w_transition_intensity,subseasonal,5,selected_on_training_period
JP-15,cases,nw_wind,subseasonal,0,selected_on_training_period
JP-15,cases,rh,subseasonal,6,selected_on_training_period
JP-15,cases,t2m,subseasonal,3,selected_on_training_period
JP-15,cases,t2m_std_anom,subseasonal,5,selected_on_training_period
JP-15,cases,tp,subseasonal,13,selected_on_training_period
JP-15,cases,w2c_event,subseasonal,19,selected_on_training_period
JP-15,cases,w2c_transition_intensity,subseasonal,19,selected_on_training_period
JP-15,cases,ah,trend,0,selected_on_training_period
JP-15,cases,c2w_event,trend,0,constant_predictor_default_zero
JP-15,cases,c2w_transition_intensity,trend,0,constant_predictor_default_zero
JP-15,cases,nw_wind,trend,0,selected_on_training_period
JP-15,cases,rh,trend,0,selected_on_training_period
JP-15,cases,t2m,trend,0,selected_on_training_period
JP-15,cases,t2m_std_anom,trend,0,selected_on_training_period
JP-15,cases,tp,trend,0,selected_on_training_period
JP-15,cases,w2c_event,trend,0,selected_on_training_period
JP-15,cases,w2c_transition_intensity,trend,0,selected_on_training_period
JP-15,incidence_per_100k,ah,annual,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,annual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,nw_wind,annual,1,selected_on_training_period
JP-15,incidence_per_100k,rh,annual,30,selected_on_training_period
JP-15,incidence_per_100k,t2m,annual,0,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,annual,0,selected_on_training_period
JP-15,incidence_per_100k,tp,annual,30,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,annual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,w2c_transition_intensity,annual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,ah,high_frequency,4,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,high_frequency,14,selected_on_training_period
JP-15,incidence_per_100k,c2w_transition_intensity,high_frequency,14,selected_on_training_period
JP-15,incidence_per_100k,nw_wind,high_frequency,9,selected_on_training_period
JP-15,incidence_per_100k,rh,high_frequency,4,selected_on_training_period
JP-15,incidence_per_100k,t2m,high_frequency,3,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-15,incidence_per_100k,tp,high_frequency,9,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,high_frequency,5,selected_on_training_period
JP-15,incidence_per_100k,w2c_transition_intensity,high_frequency,5,selected_on_training_period
JP-15,incidence_per_100k,ah,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,nw_wind,interannual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,rh,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,t2m,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,tp,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,w2c_transition_intensity,interannual,0,selected_on_training_period
JP-15,incidence_per_100k,ah,seasonal_subannual,22,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,seasonal_subannual,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_transition_intensity,seasonal_subannual,0,selected_on_training_period
JP-15,incidence_per_100k,nw_wind,seasonal_subannual,11,selected_on_training_period
JP-15,incidence_per_100k,rh,seasonal_subannual,30,selected_on_training_period
JP-15,incidence_per_100k,t2m,seasonal_subannual,17,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,seasonal_subannual,18,selected_on_training_period
JP-15,incidence_per_100k,tp,seasonal_subannual,20,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,seasonal_subannual,30,selected_on_training_period
JP-15,incidence_per_100k,w2c_transition_intensity,seasonal_subannual,30,selected_on_training_period
JP-15,incidence_per_100k,ah,semiannual,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,semiannual,30,selected_on_training_period
JP-15,incidence_per_100k,c2w_transition_intensity,semiannual,30,selected_on_training_period
JP-15,incidence_per_100k,nw_wind,semiannual,0,selected_on_training_period
JP-15,incidence_per_100k,rh,semiannual,0,selected_on_training_period
JP-15,incidence_per_100k,t2m,semiannual,24,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,semiannual,30,selected_on_training_period
JP-15,incidence_per_100k,tp,semiannual,0,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,semiannual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,w2c_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-15,incidence_per_100k,ah,subseasonal,15,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,subseasonal,5,selected_on_training_period
JP-15,incidence_per_100k,c2w_transition_intensity,subseasonal,0,selected_on_training_period
JP-15,incidence_per_100k,nw_wind,subseasonal,0,selected_on_training_period
JP-15,incidence_per_100k,rh,subseasonal,6,selected_on_training_period
JP-15,incidence_per_100k,t2m,subseasonal,3,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,subseasonal,4,selected_on_training_period
JP-15,incidence_per_100k,tp,subseasonal,13,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,subseasonal,19,selected_on_training_period
JP-15,incidence_per_100k,w2c_transition_intensity,subseasonal,19,selected_on_training_period
JP-15,incidence_per_100k,ah,trend,0,selected_on_training_period
JP-15,incidence_per_100k,c2w_event,trend,0,constant_predictor_default_zero
JP-15,incidence_per_100k,c2w_transition_intensity,trend,0,constant_predictor_default_zero
JP-15,incidence_per_100k,nw_wind,trend,0,selected_on_training_period
JP-15,incidence_per_100k,rh,trend,0,selected_on_training_period
JP-15,incidence_per_100k,t2m,trend,0,selected_on_training_period
JP-15,incidence_per_100k,t2m_std_anom,trend,0,selected_on_training_period
JP-15,incidence_per_100k,tp,trend,0,selected_on_training_period
JP-15,incidence_per_100k,w2c_event,trend,0,selected_on_training_period
JP-15,incidence_per_100k,w2c_transition_intensity,trend,0,selected_on_training_period
JP-16,cases,ah,annual,0,selected_on_training_period
JP-16,cases,c2w_event,annual,0,constant_predictor_default_zero
JP-16,cases,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-16,cases,nw_wind,annual,0,selected_on_training_period
JP-16,cases,rh,annual,30,selected_on_training_period
JP-16,cases,t2m,annual,0,selected_on_training_period
JP-16,cases,t2m_std_anom,annual,0,selected_on_training_period
JP-16,cases,tp,annual,0,selected_on_training_period
JP-16,cases,w2c_event,annual,0,selected_on_training_period
JP-16,cases,w2c_transition_intensity,annual,0,selected_on_training_period
JP-16,cases,ah,high_frequency,10,selected_on_training_period
JP-16,cases,c2w_event,high_frequency,11,selected_on_training_period
JP-16,cases,c2w_transition_intensity,high_frequency,11,selected_on_training_period
JP-16,cases,nw_wind,high_frequency,11,selected_on_training_period
JP-16,cases,rh,high_frequency,10,selected_on_training_period
JP-16,cases,t2m,high_frequency,10,selected_on_training_period
JP-16,cases,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-16,cases,tp,high_frequency,8,selected_on_training_period
JP-16,cases,w2c_event,high_frequency,11,selected_on_training_period
JP-16,cases,w2c_transition_intensity,high_frequency,1,selected_on_training_period
JP-16,cases,ah,interannual,0,selected_on_training_period
JP-16,cases,c2w_event,interannual,0,constant_predictor_default_zero
JP-16,cases,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-16,cases,nw_wind,interannual,0,selected_on_training_period
JP-16,cases,rh,interannual,0,selected_on_training_period
JP-16,cases,t2m,interannual,0,selected_on_training_period
JP-16,cases,t2m_std_anom,interannual,0,selected_on_training_period
JP-16,cases,tp,interannual,0,selected_on_training_period
JP-16,cases,w2c_event,interannual,0,constant_predictor_default_zero
JP-16,cases,w2c_transition_intensity,interannual,0,constant_predictor_default_zero
JP-16,cases,ah,seasonal_subannual,11,selected_on_training_period
JP-16,cases,c2w_event,seasonal_subannual,24,selected_on_training_period
JP-16,cases,c2w_transition_intensity,seasonal_subannual,19,selected_on_training_period
JP-16,cases,nw_wind,seasonal_subannual,29,selected_on_training_period
JP-16,cases,rh,seasonal_subannual,0,selected_on_training_period
JP-16,cases,t2m,seasonal_subannual,12,selected_on_training_period
JP-16,cases,t2m_std_anom,seasonal_subannual,10,selected_on_training_period
JP-16,cases,tp,seasonal_subannual,0,selected_on_training_period
JP-16,cases,w2c_event,seasonal_subannual,22,selected_on_training_period
JP-16,cases,w2c_transition_intensity,seasonal_subannual,22,selected_on_training_period
JP-16,cases,ah,semiannual,0,selected_on_training_period
JP-16,cases,c2w_event,semiannual,0,constant_predictor_default_zero
JP-16,cases,c2w_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-16,cases,nw_wind,semiannual,0,selected_on_training_period
JP-16,cases,rh,semiannual,1,selected_on_training_period
JP-16,cases,t2m,semiannual,30,selected_on_training_period
JP-16,cases,t2m_std_anom,semiannual,0,selected_on_training_period
JP-16,cases,tp,semiannual,0,selected_on_training_period
JP-16,cases,w2c_event,semiannual,0,constant_predictor_default_zero
JP-16,cases,w2c_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-16,cases,ah,subseasonal,16,selected_on_training_period
JP-16,cases,c2w_event,subseasonal,3,selected_on_training_period
JP-16,cases,c2w_transition_intensity,subseasonal,3,selected_on_training_period
JP-16,cases,nw_wind,subseasonal,20,selected_on_training_period
JP-16,cases,rh,subseasonal,0,selected_on_training_period
JP-16,cases,t2m,subseasonal,17,selected_on_training_period
JP-16,cases,t2m_std_anom,subseasonal,17,selected_on_training_period
JP-16,cases,tp,subseasonal,12,selected_on_training_period
JP-16,cases,w2c_event,subseasonal,21,selected_on_training_period
JP-16,cases,w2c_transition_intensity,subseasonal,8,selected_on_training_period
JP-16,cases,ah,trend,0,selected_on_training_period
JP-16,cases,c2w_event,trend,0,selected_on_training_period
JP-16,cases,c2w_transition_intensity,trend,0,selected_on_training_period
JP-16,cases,nw_wind,trend,0,selected_on_training_period
JP-16,cases,rh,trend,0,selected_on_training_period
JP-16,cases,t2m,trend,0,selected_on_training_period
JP-16,cases,t2m_std_anom,trend,0,selected_on_training_period
JP-16,cases,tp,trend,0,selected_on_training_period
JP-16,cases,w2c_event,trend,0,selected_on_training_period
JP-16,cases,w2c_transition_intensity,trend,0,selected_on_training_period
JP-16,incidence_per_100k,ah,annual,0,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,annual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,nw_wind,annual,0,selected_on_training_period
JP-16,incidence_per_100k,rh,annual,30,selected_on_training_period
JP-16,incidence_per_100k,t2m,annual,0,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,annual,0,selected_on_training_period
JP-16,incidence_per_100k,tp,annual,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,annual,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_transition_intensity,annual,0,selected_on_training_period
JP-16,incidence_per_100k,ah,high_frequency,10,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,high_frequency,11,selected_on_training_period
JP-16,incidence_per_100k,c2w_transition_intensity,high_frequency,11,selected_on_training_period
JP-16,incidence_per_100k,nw_wind,high_frequency,11,selected_on_training_period
JP-16,incidence_per_100k,rh,high_frequency,12,selected_on_training_period
JP-16,incidence_per_100k,t2m,high_frequency,10,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-16,incidence_per_100k,tp,high_frequency,8,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,high_frequency,11,selected_on_training_period
JP-16,incidence_per_100k,w2c_transition_intensity,high_frequency,1,selected_on_training_period
JP-16,incidence_per_100k,ah,seasonal_subannual,9,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,seasonal_subannual,24,selected_on_training_period
JP-16,incidence_per_100k,c2w_transition_intensity,seasonal_subannual,22,selected_on_training_period
JP-16,incidence_per_100k,nw_wind,seasonal_subannual,30,selected_on_training_period
JP-16,incidence_per_100k,rh,seasonal_subannual,0,selected_on_training_period
JP-16,incidence_per_100k,t2m,seasonal_subannual,8,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,seasonal_subannual,6,selected_on_training_period
JP-16,incidence_per_100k,tp,seasonal_subannual,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,seasonal_subannual,19,selected_on_training_period
JP-16,incidence_per_100k,w2c_transition_intensity,seasonal_subannual,20,selected_on_training_period
JP-16,incidence_per_100k,ah,semiannual,0,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,semiannual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,c2w_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,nw_wind,semiannual,0,selected_on_training_period
JP-16,incidence_per_100k,rh,semiannual,1,selected_on_training_period
JP-16,incidence_per_100k,t2m,semiannual,30,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,semiannual,29,selected_on_training_period
JP-16,incidence_per_100k,tp,semiannual,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,semiannual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,w2c_transition_intensity,semiannual,0,constant_predictor_default_zero
JP-16,incidence_per_100k,ah,subseasonal,16,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,subseasonal,3,selected_on_training_period
JP-16,incidence_per_100k,c2w_transition_intensity,subseasonal,3,selected_on_training_period
JP-16,incidence_per_100k,nw_wind,subseasonal,5,selected_on_training_period
JP-16,incidence_per_100k,rh,subseasonal,0,selected_on_training_period
JP-16,incidence_per_100k,t2m,subseasonal,16,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,subseasonal,17,selected_on_training_period
JP-16,incidence_per_100k,tp,subseasonal,12,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,subseasonal,21,selected_on_training_period
JP-16,incidence_per_100k,w2c_transition_intensity,subseasonal,21,selected_on_training_period
JP-16,incidence_per_100k,ah,trend,0,selected_on_training_period
JP-16,incidence_per_100k,c2w_event,trend,0,selected_on_training_period
JP-16,incidence_per_100k,c2w_transition_intensity,trend,0,selected_on_training_period
JP-16,incidence_per_100k,nw_wind,trend,0,selected_on_training_period
JP-16,incidence_per_100k,rh,trend,0,selected_on_training_period
JP-16,incidence_per_100k,t2m,trend,0,selected_on_training_period
JP-16,incidence_per_100k,t2m_std_anom,trend,0,selected_on_training_period
JP-16,incidence_per_100k,tp,trend,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_event,trend,0,selected_on_training_period
JP-16,incidence_per_100k,w2c_transition_intensity,trend,0,selected_on_training_period
JP-17,cases,ah,annual,0,selected_on_training_period
JP-17,cases,c2w_event,annual,0,selected_on_training_period
JP-17,cases,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-17,cases,nw_wind,annual,5,selected_on_training_period
JP-17,cases,rh,annual,0,selected_on_training_period
JP-17,cases,t2m,annual,0,selected_on_training_period
JP-17,cases,t2m_std_anom,annual,0,selected_on_training_period
JP-17,cases,tp,annual,0,selected_on_training_period
JP-17,cases,w2c_event,annual,0,selected_on_training_period
